#"Step","Potential Energy (kJ/mole)","Temperature (K)"
1,0.0,5.0366880246
2,0.0,4.04112735808
3,0.0,3.03959488802
4,0.0,1.12092477975
5,0.0,3.32558875265
6,0.0,1.22983232126
7,0.0,0.785930936337
8,0.0,1.31290372377
9,0.0,0.965060261279
10,0.0,1.47719197143
11,0.0,0.364871684011
12,0.0,1.92618758766
13,0.0,13.0290701736
14,0.0,4.80429097496
15,0.0,8.54871636205
16,0.0,6.69296325884
17,0.0,5.97017967322
18,0.0,5.65368781527
19,0.0,6.32880635844
20,0.0,12.7293976894
21,0.0,14.3947862627
22,0.0,10.2773308727
23,0.0,14.93177241
24,0.0,13.3088201014
25,0.0,14.9372865895
26,0.0,13.7111510336
27,0.0,26.0587939556
28,0.0,25.1364392375
29,0.0,28.9515816386
30,0.0,37.9333559933
31,0.0,32.6779092439
32,0.0,43.5280360681
33,0.0,55.756237112
34,0.0,58.8631182119
35,0.0,63.3034232584
36,0.0,54.0177010485
37,0.0,59.8065550302
38,0.0,59.5086546388
39,0.0,55.8182794064
40,0.0,69.8273107927
41,0.0,85.4264808519
42,0.0,98.9345042491
43,0.0,99.6832857034
44,0.0,87.8342851811
45,0.0,80.2858142362
46,0.0,74.0816695318
47,0.0,76.6419330463
48,0.0,80.8453979677
49,0.0,73.8021037029
50,0.0,66.8355303908
51,0.0,58.5560491504
52,0.0,54.757978471
53,0.0,68.3297411441
54,0.0,71.1447440712
55,0.0,70.6001622664
56,0.0,79.1908503269
57,0.0,62.828330763
58,0.0,60.0963762965
59,0.0,54.768638526
60,0.0,57.2463777342
61,0.0,68.4044051856
62,0.0,76.6900620795
63,0.0,73.6752071834
64,0.0,60.6820040437
65,0.0,56.0725040347
66,0.0,53.4063895021
67,0.0,65.2003579381
68,0.0,53.9510261169
69,0.0,59.7083034359
70,0.0,56.2497905495
71,0.0,67.061648066
72,0.0,61.4555192562
73,0.0,58.3049924333
74,0.0,45.6398652838
75,0.0,47.2454615639
76,0.0,52.8629871434
77,0.0,51.7338487964
78,0.0,49.1722710413
79,0.0,53.0736511295
80,0.0,71.1130079123
81,0.0,75.5979160821
82,0.0,73.7145642032
83,0.0,85.7393729053
84,0.0,86.0708537599
85,0.0,88.8727273941
86,0.0,98.783377924
87,0.0,88.2281915062
88,0.0,97.7983727899
89,0.0,104.94894975
90,0.0,107.648259558
91,0.0,123.329405385
92,0.0,110.845081581
93,0.0,134.633365781
94,0.0,152.408744099
95,0.0,133.19790982
