     bin        f       df
   0.252   24.539    0.214
   0.255   23.739    0.170
   0.258   23.038    0.152
   0.262   22.513    0.146
   0.265   22.385    0.144
   0.268   22.359    0.143
   0.271   22.425    0.143
   0.275   22.551    0.142
   0.278   22.709    0.142
   0.281   22.990    0.142
   0.285   23.318    0.142
   0.288   23.673    0.143
   0.291   24.063    0.143
   0.295   24.451    0.144
   0.298   24.892    0.145
   0.301   25.224    0.145
   0.304   25.675    0.147
   0.308   25.992    0.147
   0.311   26.378    0.149
   0.314   26.599    0.149
   0.318   26.975    0.151
   0.321   27.168    0.151
   0.324   27.386    0.152
   0.328   27.466    0.151
   0.331   27.827    0.156
   0.334   27.925    0.157
   0.337   27.920    0.156
   0.341   28.138    0.160
   0.344   28.528    0.173
   0.347   28.405    0.169
   0.351   28.355    0.170
   0.354   28.527    0.180
   0.357   28.220    0.172
   0.361   28.244    0.178
   0.364   28.099    0.178
   0.367   28.103    0.185
   0.370   27.759    0.179
   0.374   27.316    0.169
   0.377   26.730    0.156
   0.380   26.546    0.158
   0.384   25.850    0.146
   0.387   25.474    0.144
   0.390   24.893    0.139
   0.394   24.342    0.135
   0.397   24.018    0.135
   0.400   23.553    0.133
   0.403   22.847    0.129
   0.407   22.449    0.128
   0.410   22.025    0.127
   0.413   21.469    0.125
   0.417   21.021    0.124
   0.420   20.609    0.124
   0.423   20.230    0.123
   0.427   19.830    0.122
   0.430   19.513    0.122
   0.433   19.074    0.121
   0.436   18.799    0.121
   0.440   18.564    0.120
   0.443   18.235    0.120
   0.446   18.046    0.119
   0.450   17.778    0.119
   0.453   17.635    0.118
   0.456   17.515    0.118
   0.460   17.412    0.118
   0.463   17.396    0.118
   0.466   17.405    0.118
   0.469   17.502    0.118
   0.473   17.578    0.118
   0.476   17.691    0.119
   0.479   17.850    0.120
   0.483   18.037    0.121
   0.486   18.071    0.121
   0.489   18.188    0.122
   0.493   18.115    0.121
   0.496   18.173    0.122
   0.499   18.002    0.120
   0.502   17.880    0.118
   0.506   17.837    0.118
   0.509   17.694    0.116
   0.512   17.654    0.116
   0.516   17.640    0.116
   0.519   17.631    0.116
   0.522   17.573    0.115
   0.526   17.488    0.115
   0.529   17.555    0.115
   0.532   17.488    0.115
   0.535   17.331    0.114
   0.539   17.257    0.113
   0.542   17.228    0.114
   0.545   17.116    0.113
   0.549   16.963    0.112
   0.552   16.818    0.111
   0.555   16.741    0.111
   0.559   16.729    0.112
   0.562   16.487    0.110
   0.565   16.433    0.111
   0.568   16.265    0.110
   0.572   16.112    0.109
   0.575   15.937    0.109
   0.578   15.900    0.109
   0.582   15.656    0.108
   0.585   15.486    0.107
   0.588   15.273    0.106
   0.592   15.092    0.106
   0.595   14.886    0.105
   0.598   14.697    0.104
   0.601   14.519    0.103
   0.605   14.388    0.103
   0.608   14.253    0.102
   0.611   14.223    0.102
   0.615   14.090    0.102
   0.618   13.993    0.101
   0.621   14.060    0.102
   0.625   13.985    0.101
   0.628   14.031    0.102
   0.631   14.012    0.101
   0.634   14.065    0.102
   0.638   14.139    0.103
   0.641   14.197    0.104
   0.644   14.098    0.103
   0.648   14.085    0.103
   0.651   13.955    0.101
   0.654   13.853    0.100
   0.658   13.661    0.098
   0.661   13.602    0.098
   0.664   13.361    0.095
   0.667   13.360    0.095
   0.671   13.180    0.093
   0.674   13.231    0.093
   0.677   13.141    0.092
   0.681   13.260    0.092
   0.684   13.296    0.092
   0.687   13.362    0.092
   0.691   13.495    0.093
   0.694   13.556    0.092
   0.697   13.700    0.093
   0.700   13.744    0.093
   0.704   13.836    0.093
   0.707   13.893    0.093
   0.710   13.871    0.093
   0.714   13.861    0.092
   0.717   13.801    0.091
   0.720   13.804    0.091
   0.724   13.868    0.092
   0.727   13.751    0.090
   0.730   13.803    0.091
   0.733   13.737    0.091
   0.737   13.813    0.092
   0.740   13.764    0.092
   0.743   13.667    0.092
   0.747   13.486    0.090
   0.750   13.367    0.090
   0.753   13.238    0.089
   0.757   13.141    0.089
   0.760   12.914    0.087
   0.763   12.742    0.086
   0.766   12.514    0.085
   0.770   12.432    0.086
   0.773   12.232    0.085
   0.776   12.051    0.085
   0.780   11.939    0.086
   0.783   11.622    0.084
   0.786   11.593    0.088
   0.790   11.231    0.085
   0.793   10.956    0.084
   0.796   10.638    0.083
   0.799   10.346    0.082
   0.803    9.957    0.080
   0.806    9.678    0.080
   0.809    9.376    0.079
   0.813    9.131    0.080
   0.816    8.804    0.079
   0.819    8.365    0.076
   0.823    8.165    0.078
   0.826    7.759    0.076
   0.829    7.369    0.074
   0.832    6.846    0.071
   0.836    6.585    0.072
   0.839    6.134    0.069
   0.842    5.730    0.068
   0.846    5.305    0.066
   0.849    4.904    0.064
   0.852    4.530    0.063
   0.856    4.235    0.063
   0.859    3.913    0.062
   0.862    3.680    0.062
   0.865    3.419    0.061
   0.869    3.202    0.062
   0.872    3.076    0.063
   0.875    2.855    0.063
   0.879    2.601    0.063
   0.882    2.368    0.062
   0.885    2.097    0.062
   0.889    1.938    0.063
   0.892    1.567    0.060
   0.895    1.303    0.059
   0.898    0.980    0.057
   0.902    0.633    0.056
   0.905    0.283    0.054
   0.908    0.000    0.000
