#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1,-433.734299166,0.0192014220568,-433.715097744,0.769799171395
2,-433.734348473,0.0200156536929,-433.71433282,0.802442318187
3,-433.734358392,0.0486662246661,-433.685692168,1.95106483843
4,-433.73452681,0.165376440003,-433.56915037,6.63006344563
5,-433.734844242,0.268251695439,-433.466592547,10.754408307
6,-433.735299595,0.343063451104,-433.392236144,13.7536667657
7,-433.735984875,0.366097402108,-433.369887473,14.6771148491
8,-433.736481781,0.178745594622,-433.557736186,7.16604271412
9,-433.737064152,0.226329094486,-433.510735057,9.07370031669
10,-433.737769568,0.255866595385,-433.481902973,10.2578805118
11,-433.738139836,0.249802896155,-433.48833694,10.0147823376
12,-433.738653229,0.345291834222,-433.393361395,13.8430042883
13,-433.738529189,0.273282829908,-433.465246359,10.9561101984
14,-433.737627933,0.395915263096,-433.34171267,15.8725348869
15,-433.737115963,0.417173396602,-433.319942566,16.7247891371
16,-433.736890014,0.519137413328,-433.217752601,20.8126017666
17,-433.736360823,0.706698725728,-433.029662098,28.332073108
18,-433.735805966,0.675084591874,-433.060721374,27.0646391663
19,-433.735519107,0.584585711964,-433.150933395,23.4364723273
20,-433.735322163,0.627115409313,-433.108206754,25.1415192599
21,-433.735353915,0.76524143179,-432.970112484,30.6790933696
22,-433.735646412,0.687306427429,-433.048339985,27.5546215673
23,-433.735904089,0.720506441041,-433.015397648,28.8856345982
24,-433.736346833,0.627323604973,-433.109023228,25.1498659774
25,-433.737139462,0.58572443415,-433.151415028,23.4821245395
26,-433.73800378,0.526563002168,-433.211440778,21.1102990996
27,-433.738745687,0.439193431653,-433.299552256,17.6075885822
28,-433.739946653,0.356186305372,-433.383760348,14.2797716714
29,-433.741548144,0.547257049257,-433.194291094,21.9399387093
30,-433.744099222,0.700608229278,-433.043490993,28.0879006136
31,-433.747509775,0.875939254791,-432.87157052,35.1170507339
32,-433.7505706,0.900774545219,-432.849796055,36.1127158432
33,-433.753609531,0.968925942034,-432.784683589,38.8449556035
34,-433.757784776,1.16839062806,-432.589394148,46.8416419723
35,-433.762600432,1.34671017576,-432.415890256,53.9906041511
36,-433.769011811,1.39182915529,-432.377182656,55.7994573161
37,-433.775790489,1.2160336524,-432.559756837,48.7516859553
38,-433.784256177,1.51093578416,-432.273320393,60.574529909
39,-433.793614329,1.76558701813,-432.028027311,70.7836856853
40,-433.802456491,1.61649862548,-432.185957866,64.8066220706
41,-433.810400802,1.56749716668,-432.242903635,62.8421174487
42,-433.819141047,1.66445923646,-432.15468181,66.7293983359
43,-433.828089017,1.82645150381,-432.001637513,73.2237878043
44,-433.835615313,1.98433741921,-431.851277894,79.5535505943
45,-433.844714836,1.67662068045,-432.168094156,67.2169595949
46,-433.854327791,1.76945571134,-432.084872079,70.9387844493
47,-433.863305721,1.91726234886,-431.946043372,76.8644615556
48,-433.871176016,1.79331006371,-432.077865952,71.8951230286
49,-433.880331555,1.81338901711,-432.066942538,72.7001030788
50,-433.890318064,2.11249505057,-431.777823013,84.6914845523
51,-433.901249014,2.4805096751,-431.420739339,99.445462262
52,-433.909617477,2.34808104389,-431.561536433,94.1363007702
53,-433.918230389,2.47215668758,-431.446073702,99.1105848319
54,-433.926221538,2.22835890319,-431.697862634,89.3365518539
55,-433.937041585,2.37798374587,-431.559057839,95.3351221461
56,-433.947917479,2.5061600204,-431.441757459,100.473803523
57,-433.956665363,2.15085814159,-431.805807221,86.2294891643
58,-433.966854922,2.00444829888,-431.962406623,80.359810592
59,-433.979511604,1.89698522753,-432.082526377,76.0515368073
60,-433.993870882,1.93723372996,-432.056637152,77.665128953
61,-434.010184761,1.91894761476,-432.091237146,76.9320251084
62,-434.02867114,2.02297577305,-432.005695367,81.1025906954
63,-434.049857561,2.43117172562,-431.618685835,97.4674674805
64,-434.070951906,2.72415251526,-431.34679939,109.213283412
65,-434.095211337,2.70004445058,-431.395166887,108.246773319
66,-434.120952787,2.75061831856,-431.370334468,110.274316985
67,-434.149101161,2.87316897257,-431.275932188,115.187463086
68,-434.178668139,3.080372488,-431.098295651,123.494404833
69,-434.213206328,3.06392216049,-431.149284167,122.834899071
70,-434.247588683,2.8112784159,-431.436310267,112.706225024
71,-434.284377314,2.81939036659,-431.464986948,113.03143911
72,-434.320049509,2.89945955237,-431.420589956,116.241471819
73,-434.36022127,2.93951498732,-431.420706282,117.847323748
74,-434.401662156,2.94767064966,-431.453991506,118.174290266
75,-434.44541117,2.70950747325,-431.735903697,108.626152877
76,-434.492459885,2.97982067918,-431.512639206,119.46320866
77,-434.547569208,3.01695736646,-431.530611842,120.952045841
78,-434.611070751,3.12961700084,-431.481453751,125.468653671
79,-434.677565389,3.21704709412,-431.460518295,128.97379059
80,-434.74645435,3.37852334231,-431.367931008,135.44749247
81,-434.820126391,3.48388807399,-431.336238317,139.67164227
82,-434.8944198,3.62386752119,-431.270552279,145.283521543
83,-434.975592315,3.75183095706,-431.223761358,150.413670061
84,-435.056807144,3.16669662966,-431.890110515,126.955203336
85,-435.140391862,3.31564930645,-431.824742555,132.926826002
86,-435.231424533,3.55457930421,-431.676845228,142.505705824
87,-435.33796309,4.23654471186,-431.101418378,169.84620197
88,-435.448746539,4.08446205321,-431.364284486,163.749096023
89,-435.568255052,4.2804723254,-431.287782727,171.607292393
90,-435.699202714,4.54874254702,-431.150460167,182.362443429
91,-435.8340874,4.45872926637,-431.375358134,178.753744623
92,-435.970089866,4.63337347562,-431.33671639,185.755359772
93,-436.117354697,4.43791614103,-431.679438556,177.919331078
94,-436.272081827,4.32381294893,-431.948268878,173.344849955
95,-436.43177472,4.36307867966,-432.068696041,174.919042058
96,-436.590379412,4.13380182931,-432.456577582,165.727164035
97,-436.750797068,3.92211291721,-432.82868415,157.240399428
98,-436.909094315,4.05214250679,-432.856951808,162.453381571
99,-437.071618294,3.97627309389,-433.095345201,159.411720854
100,-437.253179004,4.41634942483,-432.836829579,177.05470552
101,-437.441259929,4.10834577996,-433.332914149,164.706612243
102,-437.655340703,4.65227263022,-433.003068073,186.513040818
103,-437.887246053,5.12461358305,-432.76263247,205.449537971
104,-438.129540308,5.58073870828,-432.548801599,223.735930636
105,-438.39435754,6.2155406326,-432.178816907,249.185607951
106,-438.693743578,6.63532570635,-432.058417872,266.015101151
107,-439.012828903,7.17204812717,-431.840780776,287.532698837
108,-439.363135115,7.94013917522,-431.42299594,318.326035424
109,-439.748841061,8.56109538329,-431.187745677,343.220627764
110,-440.14439156,8.24192013786,-431.902471423,330.424656781
111,-440.570063974,8.68613957006,-431.883924404,348.233741432
112,-441.004162582,8.56246740426,-432.441695178,343.275633096
113,-441.448046563,8.43066716509,-433.017379398,337.991664305
114,-441.944960266,9.78709149771,-432.157868768,392.371716169
115,-442.456868402,9.71176682725,-432.745101575,389.351894578
116,-442.981317464,9.40618692426,-433.57513054,377.1009709
117,-443.546457008,10.1689721306,-433.377484878,407.681592378
118,-444.136098901,10.4069638756,-433.729135025,417.222856959
